매입품목명,라인수,금액,items후보(참고),최종지정코드(빈칸=기타)
채널바 옆마구리 [200mm*100mm/검정],1,45000,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
실리콘 [투명],1,42500,SGM-SIL:실리콘,
아일렛(하도매) [5호/은색],2,42000,ACC-045-5-S:아일렛 5호 은 / ACC-045-5-G:아일렛 5호 금,
채널바 옆마구리 [400mm*100mm/검정],1,38500,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
사각족자봉 마개 [그레이],1,35000,SPM022G-105:그레이시트 SPM022G / SPM022G-127:그레이시트 SPM022G,
원형나무 [70폭(20mm)],2,31000,WDR-01:원형나무,
폼보드 [4*8(5T)],1,28500,UV-FOM-5T-W:UV 폼보드 5T 백색 / FOM-5T-W-48:폼보드,
하도매 기계(손기계) [수동],1,28000,GDS-HDMGI:하도매기계(손기계),
잉크(K) [1리터],1,27000,RM-I0014:현수막 잉크-K / RM-I0018:에코솔벤 잉크-K,
채널바 옆마구리 [200mm*100mm/연회색],1,22500,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
채널바 옆마구리 [150mm*100mm/백색],1,20500,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
채널바 옆마구리 [150mm*100mm/연회색],1,20500,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
하도매 자동몰드 [24호(12파이)],1,20000,GDS-HDMGI:하도매기계(손기계),
자동몰드 [9호],1,19000,,
사각족자봉 [94cm],1,17000,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
족자봉 고리,1,12500,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
대신화물,1,12000,,
원형족자봉 마개/은색 [16Ø],1,10800,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
원형족자봉(고리가 안들어가요 교환해주세요) [21Ø],1,0,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
채널바 옆마구리/미사용 반품 [200mm*113mm/백색],1,-49000,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
알마이트2T-검정,1,-990000,UV-ALM-2T-S:UV 알마이트 2T 은색 / ALM-2T-S-48:알마이트,
