품목코드,품목명,카테고리,유형,방식,단위,활성,판매이력라인,원가(avg_unit_cost),참조마진,마진출처,마진IQR,제안가(원가×마진 100원반올림)
AQ-STB,수성 가로등현수막,수성,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
AQ-SYNG,수성 합성지 그레이,수성,PRODUCT,AREA,EA,,16,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
AQ1-105,수성 현수막원단 1코팅,원자재,MATERIAL,FIXED,yd,,1,580,1.08,"카테고리(원자재, n=82)",1.02~1.16,600
AQ2-030,수성 현수막원단 2코팅,원자재,MATERIAL,FIXED,yd,,1,290,1.08,"카테고리(원자재, n=82)",1.02~1.16,300
AQ2-045,수성 현수막원단 2코팅,원자재,MATERIAL,FIXED,yd,,0,0,,원가 없음(매입이력 0),,
AQ2-095,수성 현수막원단 2코팅,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
AQ2-200,수성 현수막원단 2코팅,원자재,MATERIAL,FIXED,yd,,0,0,,원가 없음(매입이력 0),,
AQ2-250,수성 현수막원단 2코팅,원자재,MATERIAL,FIXED,yd,,1,4036.18,1.08,"카테고리(원자재, n=82)",1.02~1.16,4400
AQ2-320,수성 현수막원단 2코팅,원자재,MATERIAL,FIXED,yd,,1,4738.35,1.08,"카테고리(원자재, n=82)",1.02~1.16,5100
AQD-040,수성 현수막원단 저밀도,원자재,MATERIAL,FIXED,yd,,0,150,1.08,"카테고리(원자재, n=82)",1.02~1.16,200
AQD-070,수성 현수막원단 저밀도,원자재,MATERIAL,FIXED,yd,,0,355,1.08,"카테고리(원자재, n=82)",1.02~1.16,400
BKLT-AN-090,백릿(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
BKLT-AN-127,백릿(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
BKLT-AQ-090,수성 백릿-호홍,원자재,MATERIAL,FIXED,롤,,0,0,,원가 없음(매입이력 0),,
BKLT-AQ-150,수성 백릿-호홍,원자재,MATERIAL,FIXED,롤,,0,0,,원가 없음(매입이력 0),,
BUJIK-060,부직포,원자재,MATERIAL,FIXED,롤,,6,1232.9332,1.08,"카테고리(원자재, n=82)",1.02~1.16,1300
BUJIK-090,부직포,원자재,MATERIAL,FIXED,롤,,2,1287.5536,1.08,"카테고리(원자재, n=82)",1.02~1.16,1400
BUJIK-152,부직포,원자재,MATERIAL,FIXED,롤,,0,2490.4526,1.08,"카테고리(원자재, n=82)",1.02~1.16,2700
BUJIK-180,부직포,원자재,MATERIAL,FIXED,롤,,1,2869.1194,1.08,"카테고리(원자재, n=82)",1.02~1.16,3100
