품목코드	품목명	규격	폭mm	단위	매입수량	매입액	발주건	최근발주	공급처	용도(기입)
SGM-CSM-R250-LG	채널바 옆마구리 250mm 연회색	250mm		EA	20	49000	1	2026-04-10	(주)엘이디포유	
SGM-CSM-R250-WH	채널바 옆마구리 250mm 백색	250mm		EA	20	49000	1	2026-06-05	(주)엘이디포유	
SGM-CSM-R250-BK	채널바 옆마구리 250mm 흑색	250mm		EA	20	49000	1	2026-04-10	(주)엘이디포유	
SK-628	간판용후판0.8M(50M)			EA	1	48000	1	2026-04-06	(주)서울경금속	
SK-1295	까치발-600			EA	15	47850	1	2026-01-12	(주)서울경금속	
SGM-PPIPE-PW900	투광기 파이프 백색 900mm	ㅡ자형 900mm		EA	20	46000	1	2026-03-27	(주)엘이디포유	
SGM-PRSQ-550	포인트간판 사각돌출 550*550	550*550		EA	1	45500	1	2026-02-09	(주)엘이디포유	
SGM-PRND-D600	포인트원형돌출 600Φ			EA	1	45500	1	2026-05-06	(주)엘이디포유	
SGM-CSM-R200-BK	채널바 옆마구리 200mm 흑색	200mm		EA	20	45000	1	2026-06-05	(주)엘이디포유	
SGM-CSM-R200-JD	채널바 옆마구리 200mm 옥색	200mm		EA	20	44000	1	2026-02-02	(주)엘이디포유	
SGM-CSM-R400-JD	채널바 옆마구리 400mm 옥색	400mm		EA	10	31000	1	2026-01-09	(주)엘이디포유	
SGM-CSM-R300-LG	채널바 옆마구리 300mm 연회색	300mm		EA	10	27500	1	2026-04-10	(주)엘이디포유	
DOIN-105	도인지 105	105cm 롤137M		롤	1	25500	1	2026-04-01	(주)엘이디포유	
SGM-CSM-R200-LG	채널바 옆마구리 200mm 연회색	200mm		EA	10	22500	1	2026-06-05	(주)엘이디포유	
SGM-CSM-R150-LG	채널바 옆마구리 150mm 연회색	150mm		EA	10	20500	1	2026-06-05	(주)엘이디포유	
SK-2612	라운드경관봉40mm마구리			EA	30	15000	1	2026-01-22	(주)서울경금속	
SK-2567	평면경관봉70mmPC커버3M			EA	3	12390	1	2026-02-26	(주)서울경금속	
SK-149	운임			EA	1	6000	1	2026-06-18	(주)서울경금속	
ETC-SHIP	배송비(택배/화물)			EA	1	6000	1	2026-06-05	(주)엘이디포유	
SK-2500	사각경관봉70mm마구리			EA	10	5000	1	2026-01-22	(주)서울경금속	
SK-2146	평면경관봉100mm마구리			EA	8	4000	1	2026-01-22	(주)서울경금속	
SK-2279	평면경관봉70mm마구리			EA	6	3000	1	2026-02-26	(주)서울경금속	
SGM-CSM-R200X113-WH	채널바 옆마구리 200*113 백색	200*113mm		EA	20	0	2	2026-02-03	(주)엘이디포유	
SGM-CSM-R200X113-JD	채널바 옆마구리 200*113 옥색	200*113mm		EA	20	0	2	2026-02-03	(주)엘이디포유	
KMT-HEAD-I3200	(F1) I3200-A1 헤드			EA	1	0	1	2026-05-26	케이엠테크	
KMT-CONN4	(공용) 일자커넥터 4Φ			EA	6	0	1	2026-05-27	케이엠테크	
KMT-RELAY24V	Extreme-2280T 릴레이	24VDC-10A-110V 피더		EA	5	0	1	2026-05-27	케이엠테크	
KMT-RELAY8A	Extreme-2280T 릴레이	8A-AC/250V-DC 피더		EA	5	0	1	2026-05-27	케이엠테크	
SGM-TACK-T6	타카핀 6mm			EA	60	-390000	1	2026-01-20	(주)엘이디포유	
